Student_Name,Enrollment_No,Total_Present,Total_Absent,Machine_Learning,iOS,MERN,Flutter,S
Kenil Patel,202504104610001,23,7,4,8,7,2,2
Priyanka Patel,202504104610002,19,11,10,2,3,2,2
Rahul Patel,202504104610003,26,4,8,,3,8,5
Sneha Patel,202504104610004,24,6,3,5,3,10,3
Aarav Patel,202504104610005,24,6,2,15,2,2,3
Riya Patel,202504104610006,28,2,20,2,2,2,2
Harsh Patel,202504104610007,21,9,2,10,3,3,3
Nisha Patel,202504104610008,24,6,4,10,2,6,2
Yash Patel,202504104610009,22,8,,3,2,3,4
Diya Patel,202504104610010,23,7,3,10,2,6,2
Karan Patel,202504104610011,18,12,5,5,4,2,2
Anjali Patel,202504104610012,30,,12,,5,2,2
Parth Patel,202504104610013,22,8,5,4,5,2,6
Khushi Patel,202504104610014,27,3,11,10,2,2,2
Dev Patel,202504104610015,29,1,16,4,2,2,5
Meera Patel,202504104610016,26,4,15,3,3,2,3
Rohan Patel,202504104610017,25,5,15,2,4,2,2
Aditi Patel,202504104610018,30,,19,4,3,2,
Nikhil Patel,202504104610019,27,3,17,4,2,2,2
Pooja Patel,202504104610020,19,11,6,5,4,2,2
Kenil Chauhan,202504104610021,18,12,6,6,2,2,2
Priyanka Chauhan,202504104610022,29,1,14,7,2,3,3
Rahul Chauhan,202504104610023,23,7,4,11,2,3,3
Sneha Chauhan,202504104610024,18,12,5,4,3,4,2
Aarav Chauhan,202504104610025,21,9,8,5,,2,3
Riya Chauhan,202504104610026,20,10,9,5,2,2,2
Harsh Chauhan,202504104610027,24,6,15,3,2,2,2
Nisha Chauhan,202504104610028,28,2,14,3,3,2,6
Yash Chauhan,202504104610029,20,10,4,5,7,2,2
Diya Chauhan,202504104610030,18,12,9,2,3,2,2
Karan Chauhan,202504104610031,18,12,4,5,4,3,2
Anjali Chauhan,202504104610032,20,10,10,4,2,2,2
Parth Chauhan,202504104610033,30,,19,5,2,2,2
Khushi Chauhan,202504104610034,24,6,3,9,7,3,2
Dev Chauhan,202504104610035,18,12,5,2,3,5,3
Meera Chauhan,202504104610036,20,10,3,7,6,2,2
Rohan Chauhan,202504104610037,19,11,2,11,2,2,2
,202504104610038,23,7,11,2,,3,5
Nikhil Chauhan,202504104610039,27,3,14,3,4,3,3
Pooja Chauhan,202504104610040,27,3,13,5,2,2,5
Kenil Shah,202504104610041,25,5,16,3,2,2,2
Priyanka Shah,202504104610042,19,11,4,3,7,3,2
Rahul Shah,202504104610043,29,1,10,9,3,2,5
Sneha Shah,202504104610044,21,9,10,4,2,2,3
Aarav Shah,202504104610045,30,,18,4,4,2,2
Riya Shah,202504104610046,29,1,10,10,4,2,3
Harsh Shah,202504104610047,23,7,14,2,3,2,2
Nisha Shah,202504104610048,27,3,8,5,8,4,2
Yash Shah,202504104610049,30,,9,5,10,3,3
Diya Shah,202504104610050,23,7,13,2,2,3,3
Karan Shah,202504104610051,25,5,10,5,6,2,2
Anjali Shah,202504104610052,25,5,13,4,2,2,4
Parth Shah,202504104610053,19,11,5,5,3,3,3
Khushi Shah,202504104610054,21,9,9,6,2,2,2
Dev Shah,202504104610055,28,2,13,3,8,,2
Meera Shah,202504104610056,24,6,14,4,2,2,2
Rohan Shah,202504104610057,20,10,8,4,2,4,2
Aditi Shah,202504104610058,24,6,9,8,2,2,3
Nikhil Shah,202504104610059,20,10,4,2,4,6,4
Pooja Shah,202504104610060,25,5,6,11,4,2,2
Kenil Desai,202504104610061,28,2,13,4,6,2,3
Priyanka Desai,202504104610062,18,12,2,3,4,5,4
Rahul Desai,202504104610063,21,9,5,2,6,3,5
Sneha Desai,202504104610064,22,8,10,3,4,3,2
Aarav Desai,202504104610065,26,4,15,3,2,4,2
Riya Desai,202504104610066,23,7,9,7,3,2,2
Harsh Desai,202504104610067,26,4,6,10,6,2,2
Nisha Desai,202504104610068,25,5,7,11,2,2,3
Yash Desai,202504104610069,20,10,4,9,2,2,3
Diya Desai,202504104610070,23,7,12,5,2,2,2
Karan Desai,202504104610071,21,9,5,6,2,2,6
Anjali Desai,202504104610072,26,4,16,4,2,2,2
Parth Desai,202504104610073,25,5,12,6,2,3,2
Khushi Desai,202504104610074,25,5,17,2,2,2,2
Dev Desai,202504104610075,25,5,6,8,2,5,4
Meera Desai,202504104610076,25,5,12,2,7,2,2
,202504104610077,24,6,3,5,12,2,2
Aditi Desai,202504104610078,30,,5,6,13,4,2
Nikhil Desai,202504104610079,28,2,13,4,4,3,4
Pooja Desai,202504104610080,25,5,9,3,8,3,2
Kenil Prajapati,202504104610081,20,10,12,2,2,2,2
Priyanka Prajapati,202504104610082,26,4,14,4,3,2,3
Rahul Prajapati,202504104610083,23,7,7,3,,2,4
Sneha Prajapati,202504104610084,23,7,10,5,3,2,3
Aarav Prajapati,202504104610085,24,6,7,10,3,2,2
Riya Prajapati,202504104610086,19,11,5,2,2,4,6
Harsh Prajapati,202504104610087,22,8,2,14,2,2,2
Nisha Prajapati,202504104610088,30,,6,15,4,3,2
Yash Prajapati,202504104610089,20,10,10,4,2,2,2
Diya Prajapati,202504104610090,19,11,6,2,7,2,2
Karan Prajapati,202504104610091,24,6,16,2,2,2,2
Anjali Prajapati,202504104610092,28,2,4,10,3,5,6
Parth Prajapati,202504104610093,19,11,6,,5,2,4
Khushi Prajapati,202504104610094,23,7,10,5,3,2,3
Dev Prajapati,202504104610095,18,12,10,2,2,2,2
Meera Prajapati,202504104610096,22,8,2,4,5,6,5
Rohan Prajapati,202504104610097,28,2,11,10,2,3,2
Aditi Prajapati,202504104610098,25,5,7,6,4,2,6
Nikhil Prajapati,202504104610099,22,8,2,2,2,13,3
Pooja Prajapati,202504104610100,26,4,8,10,3,2,3
Karan Patel,202504104610011,18,12,5,5,4,2,2
Yash Chauhan,202504104610029,20,10,4,5,7,2,2
Sneha Patel,202504104610004,24,6,,5,3,10,3
Kenil Shah,202504104610041,25,5,16,3,2,2,2
