Student_Name,Enrollment_No,Total_Present,Total_Absent,Machine_Learning,iOS,MERN,Flutter,S
Kenil Patel,202504104610001,23,7.0,4.0,8.0,7.0,2.0,2.0
Priyanka Patel,202504104610002,19,11.0,10.0,2.0,3.0,2.0,2.0
Rahul Patel,202504104610003,26,4.0,8.0,5.366336633663367,3.0,8.0,5.0
Sneha Patel,202504104610004,24,6.0,3.0,5.0,3.0,10.0,3.0
Aarav Patel,202504104610005,24,6.0,2.0,15.0,2.0,2.0,3.0
Riya Patel,202504104610006,28,2.0,20.0,2.0,2.0,2.0,2.0
Harsh Patel,202504104610007,21,9.0,2.0,10.0,3.0,3.0,3.0
Nisha Patel,202504104610008,24,6.0,4.0,10.0,2.0,6.0,2.0
Yash Patel,202504104610009,22,8.0,8.950980392156863,3.0,2.0,3.0,4.0
Diya Patel,202504104610010,23,7.0,3.0,10.0,2.0,6.0,2.0
Karan Patel,202504104610011,18,12.0,5.0,5.0,4.0,2.0,2.0
Anjali Patel,202504104610012,30,6.876288659793815,12.0,5.366336633663367,5.0,2.0,2.0
Parth Patel,202504104610013,22,8.0,5.0,4.0,5.0,2.0,6.0
Khushi Patel,202504104610014,27,3.0,11.0,10.0,2.0,2.0,2.0
Dev Patel,202504104610015,29,1.0,16.0,4.0,2.0,2.0,5.0
Meera Patel,202504104610016,26,4.0,15.0,3.0,3.0,2.0,3.0
Rohan Patel,202504104610017,25,5.0,15.0,2.0,4.0,2.0,2.0
Aditi Patel,202504104610018,30,6.876288659793815,19.0,4.0,3.0,2.0,2.825242718446602
Nikhil Patel,202504104610019,27,3.0,17.0,4.0,2.0,2.0,2.0
Pooja Patel,202504104610020,19,11.0,6.0,5.0,4.0,2.0,2.0
Kenil Chauhan,202504104610021,18,12.0,6.0,6.0,2.0,2.0,2.0
Priyanka Chauhan,202504104610022,29,1.0,14.0,7.0,2.0,3.0,3.0
Rahul Chauhan,202504104610023,23,7.0,4.0,11.0,2.0,3.0,3.0
Sneha Chauhan,202504104610024,18,12.0,5.0,4.0,3.0,4.0,2.0
Aarav Chauhan,202504104610025,21,9.0,8.0,5.0,3.633663366336634,2.0,3.0
Riya Chauhan,202504104610026,20,10.0,9.0,5.0,2.0,2.0,2.0
Harsh Chauhan,202504104610027,24,6.0,15.0,3.0,2.0,2.0,2.0
Nisha Chauhan,202504104610028,28,2.0,14.0,3.0,3.0,2.0,6.0
Yash Chauhan,202504104610029,20,10.0,4.0,5.0,7.0,2.0,2.0
Diya Chauhan,202504104610030,18,12.0,9.0,2.0,3.0,2.0,2.0
Karan Chauhan,202504104610031,18,12.0,4.0,5.0,4.0,3.0,2.0
Anjali Chauhan,202504104610032,20,10.0,10.0,4.0,2.0,2.0,2.0
Parth Chauhan,202504104610033,30,6.876288659793815,19.0,5.0,2.0,2.0,2.0
Khushi Chauhan,202504104610034,24,6.0,3.0,9.0,7.0,3.0,2.0
Dev Chauhan,202504104610035,18,12.0,5.0,2.0,3.0,5.0,3.0
Meera Chauhan,202504104610036,20,10.0,3.0,7.0,6.0,2.0,2.0
Rohan Chauhan,202504104610037,19,11.0,2.0,11.0,2.0,2.0,2.0
Karan Patel,202504104610038,23,7.0,11.0,2.0,3.633663366336634,3.0,5.0
Nikhil Chauhan,202504104610039,27,3.0,14.0,3.0,4.0,3.0,3.0
Pooja Chauhan,202504104610040,27,3.0,13.0,5.0,2.0,2.0,5.0
Kenil Shah,202504104610041,25,5.0,16.0,3.0,2.0,2.0,2.0
Priyanka Shah,202504104610042,19,11.0,4.0,3.0,7.0,3.0,2.0
Rahul Shah,202504104610043,29,1.0,10.0,9.0,3.0,2.0,5.0
Sneha Shah,202504104610044,21,9.0,10.0,4.0,2.0,2.0,3.0
Aarav Shah,202504104610045,30,6.876288659793815,18.0,4.0,4.0,2.0,2.0
Riya Shah,202504104610046,29,1.0,10.0,10.0,4.0,2.0,3.0
Harsh Shah,202504104610047,23,7.0,14.0,2.0,3.0,2.0,2.0
Nisha Shah,202504104610048,27,3.0,8.0,5.0,8.0,4.0,2.0
Yash Shah,202504104610049,30,6.876288659793815,9.0,5.0,10.0,3.0,3.0
Diya Shah,202504104610050,23,7.0,13.0,2.0,2.0,3.0,3.0
Karan Shah,202504104610051,25,5.0,10.0,5.0,6.0,2.0,2.0
Anjali Shah,202504104610052,25,5.0,13.0,4.0,2.0,2.0,4.0
Parth Shah,202504104610053,19,11.0,5.0,5.0,3.0,3.0,3.0
Khushi Shah,202504104610054,21,9.0,9.0,6.0,2.0,2.0,2.0
Dev Shah,202504104610055,28,2.0,13.0,3.0,8.0,2.8932038834951457,2.0
Meera Shah,202504104610056,24,6.0,14.0,4.0,2.0,2.0,2.0
Rohan Shah,202504104610057,20,10.0,8.0,4.0,2.0,4.0,2.0
Aditi Shah,202504104610058,24,6.0,9.0,8.0,2.0,2.0,3.0
